CODIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECION;CP;POBLACION;PROVINCIA;PAIS;CERCANIAS;FEVE;COMUN
78600;MANRESA                                 ;41.720129 ;1.82899   ;Carretera Manresa A Abrera, S/N;08240;MANRESA;BARCELONA;ESPAÑA;SI;NO;
78602;ELS COMDALS (APD)                       ;41.6894700;1.84060900;;;MANRESA;BARCELONA;ESPAÑA;SI;NO;
78603;CASTELLGALI  (APD)                      ;41.6757870;1.85807300;;;SANT VICENÇ DE CASTELLET;BARCELONA;ESPAÑA;SI;NO;
78604;SANT VICENÇ DE CASTELLET                ;41.667899 ;1.863451  ;Paseo de Pau Casalls, S/N;08295;SANT VICENÇ DE CASTELLET;BARCELONA;ESPAÑA;SI;NO;
78605;CASTELLBELL I EL VILAR-MONISTROL MONTS  ;41.628059 ;1.869875  ;Calle Camino de la Estacion, S/N;08296;CASTELLBELL I EL VILAR;BARCELONA;ESPAÑA;SI;NO;
78606;VACARISSES                              ;41.6019242;1.8918433 ;Calle Petunia, 29;08294;VACARISSES;BARCELONA;ESPAÑA;SI;NO;
78607;VACARISSES-TORREBLANCA                  ;41.577138 ;1.921807  ;Paseo de la Estacion de Torreblanca, S/N;08233;VACARISSES;BARCELONA;ESPAÑA;SI;NO;
78608;OLESA DE MONTSERRAT                     ;41.5609930;1.93032700;;;OLESA DE MONTSERRAT;BARCELONA;ESPAÑA;SI;NO;
78609;VILADECAVALLS                           ;41.565479 ;1.954342  ;Camino de la Estacion, S/N;08232;VILADECAVALLS;BARCELONA;ESPAÑA;SI;NO;
78610;SANT MIQUEL DE GONTERES                 ;41.568123 ;1.975712  ;Calle Paseo de los Eucaliptus, S/N;08232;VILADECAVALLS;BARCELONA;ESPAÑA;SI;NO;
78700;TERRASSA ESTACIO NORD                   ;41.570159 ;2.019075  ;Plaça de L'Estacio del Norte, S/N;08221;TERRASSA;BARCELONA;ESPAÑA;SI;NO;
78701;TORREBONICA (APD)                       ;41.5661460;2.05303500;;;TERRASSA;BARCELONA;ESPAÑA;SI;NO;
78702;CASTELLARNAU  (APD)                     ;41.5640310;2.07518500;;;SABADELL;BARCELONA;ESPAÑA;SI;NO;
78703;SABADELL SUD                            ;41.53662  ;2.105617  ;Calle Comercio, S/N;08204;SABADELL;BARCELONA;ESPAÑA;SI;NO;
78704;SABADELL CENTRE                         ;41.549572 ;2.114757  ;Calle Alfonso, S/N;08203;SABADELL;BARCELONA;ESPAÑA;SI;NO;
78705;BARBERÁ DEL VALLÉS                      ;41.507162 ;2.127558  ;Plaza de Espanya, S/N;08210;BARBERÀ DEL VALLÈS;BARCELONA;ESPAÑA;SI;NO;
78706;CERDANYOLA DEL VALLÉS                   ;41.492582 ;2.14763   ;Avenida Primavera, S/N;08290;CERDANYOLA DEL VALLÈS;BARCELONA;ESPAÑA;SI;NO;
78707;MONTCADA I REIXAC-SANTA MARÍA           ;41.481232 ;2.166922  ;Passatge Manresa, S/N;08110;MONTCADA I REIXAC;BARCELONA;ESPAÑA;SI;NO;
78708;MONTCADA I REIXAC-MANRESA               ;41.483996 ;2.185513  ;Carretera Vella, S/N;08110;MONTCADA I REIXAC;BARCELONA;ESPAÑA;SI;NO;
78709;SABADELL NORD                           ;41.562871 ;2.087794  ;Plaza de España, S/N;08207;SABADELL;BARCELONA;ESPAÑA;SI;NO;
